"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-all-category.use-case.ts", "TypeScript", 0, 0, 28, 0, 0, 3, 9, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-all-products.use-case.ts", "TypeScript", 0, 0, 28, 0, 0, 3, 13, 44
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-all-unit.use-case.ts", "TypeScript", 0, 0, 28, 0, 0, 3, 9, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-category-by-id.use-case.ts", "TypeScript", 0, 0, 25, 0, 0, 2, 5, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-product-by-category.use-case.ts", "TypeScript", 0, 0, 32, 0, 0, 4, 14, 50
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\get-unit-by-id.use-case.ts", "TypeScript", 0, 0, 26, 0, 0, 2, 5, 33
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\update-category.use-case.ts", "TypeScript", 0, 0, 27, 0, 0, 2, 7, 36
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\update-product.use-case.ts", "TypeScript", 0, 0, 27, 0, 0, 2, 7, 36
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\product\update-unit.use-case.ts", "TypeScript", 0, 0, 27, 0, 0, 2, 6, 35
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\user\delete-user.use-case.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\user\update-user.use-case.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\auth.mongo.datasource.impl.ts", "TypeScript", 0, 0, 54, 0, 0, 16, 36, 106
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\customers\city.mongo.datasource.impl.ts", "TypeScript", 0, 0, 97, 0, 0, 5, 17, 119
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\customers\customer.mongo.datasource.impl.ts", "TypeScript", 0, 0, 154, 0, 0, 6, 25, 185
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\customers\neighborhood.mongo.datasource.impl.ts", "TypeScript", 0, 0, 126, 0, 0, 7, 26, 159
