"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "JavaScript", "YAML", "Docker", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\products\category.model.ts.html", "HTML", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 15, 160
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\products\index.html", "HTML", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 16, 146
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\products\product.model.ts.html", "HTML", 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 14, 238
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\products\unit.model.ts.html", "HTML", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 14, 154
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\sales\index.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 14, 116
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\sales\sale.model.ts.html", "HTML", 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 14, 337
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\user.model.ts.html", "HTML", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 14, 211
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\datasources\customers\city.datasource.ts.html", "HTML", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 14, 124
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\datasources\customers\customer.datasource.ts.html", "HTML", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 14, 124
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\datasources\customers\index.html", "HTML", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 16, 146
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\datasources\customers\neighborhood.datasource.ts.html", "HTML", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 14, 127
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\datasources\products\category.datasource.ts.html", "HTML", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 14, 139
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\datasources\products\index.html", "HTML", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 15, 131
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\datasources\products\product.datasource.ts.html", "HTML", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 14, 154
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\auth\index.html", "HTML", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 15, 131
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\auth\login-user.dto.ts.html", "HTML", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 15, 157
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\auth\register-user.dto.ts.html", "HTML", 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 20, 208
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\chatbot\chat-query.dto.ts.html", "HTML", 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 15, 178
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\chatbot\index.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 14, 116
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\customers\create-city.dto.ts.html", "HTML", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 16, 181
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\customers\create-customer.dto.ts.html", "HTML", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 19, 253
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\customers\create-neighborhood.dto.ts.html", "HTML", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 18, 208
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\customers\index.html", "HTML", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 19, 191
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\customers\update-city.dto.ts.html", "HTML", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 19, 220
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\customers\update-customer.dto.ts.html", "HTML", 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 23, 319
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\customers\update-neighborhood.dto.ts.html", "HTML", 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 14, 247
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\payment\create-payment.dto.ts.html", "HTML", 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 14, 343
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\payment\index.html", "HTML", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 17, 161
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\payment\process-webhook.dto.ts.html", "HTML", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 17, 166
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\payment\update-payment-status.dto.ts.html", "HTML", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 14, 178
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\payment\verify-payment.dto.ts.html", "HTML", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 17, 148
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\products\create-category.ts.html", "HTML", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 15, 169
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\products\create-product.dto.ts.html", "HTML", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 17, 208
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\products\create-unit.dto.ts.html", "HTML", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 14, 163
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\products\index.html", "HTML", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 19, 191
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\domain\dtos\products\udpate-unit.dto.ts.html", "HTML", 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 15, 235
